"No.","Rank","Distributor","Market Share","Total Gross","Movies Tracked","2013 Movies"
"1","1","Warner Bros.","18.4%","$1,767.3","30","20"
"2","2","Paramount","16.4%","$1,577.0","17","14"
"3","3","Sony / Columbia","13.2%","$1,267.2","23","20"
"4","4","Universal","11.0%","$1,054.6","20","18"
"5","5","20th Century Fox","10.5%","$1,014.3","24","20"
"6","6","Buena Vista","10.5%","$1,011.7","18","13"
"7","7","Lionsgate","4.5%","$436.8","19","19"
"8","8","Summit Entertainment","2.4%","$226.5","5","5"
"9","9","Fox Searchlight","2.2%","$214.8","9","6"
"10","10","MGM/UA","1.7%","$160.8","18","12"
"11","11","Focus Features","1.4%","$138.9","7","5"
"12","12","Overture Films","1.1%","$103.1","8","8"
"13","13","Miramax","0.8%","$81.7","11","8"
"14","14","Paramount Vantage","0.8%","$81.1","12","8"
"15","15","Picturehouse","0.7%","$64.0","7","5"
"16","16","Rogue Pictures","0.7%","$63.6","2","2"
"17","17","New Line","0.6%","$62.5","4","3"
"18","18","Weinstein Company","0.5%","$48.8","10","7"
"19","19","Samuel Goldwyn","0.4%","$41.5","7","7"
"20","20","Sony Classics","0.4%","$41.1","24","19"
"21","21","National Geographic Entertainment","0.3%","$24.2","2","1"
"22","22","Freestyle Releasing","0.2%","$23.7","7","7"
"23","23","Magnolia","0.1%","$10.4","24","24"
"24","24","IMAX","0.1%","$10.3","6","1"
"25","25","Roadside Attractions","0.1%","$8.3","14","11"
"26","26","Rocky Mountain Pictures","0.1%","$8.1","2","2"
"27","27","Vivendi Entertainment","0.1%","$7.5","2","2"
"28","28","Paramount Classics","0.1%","$6.6","1","1"
"29","29","Music Box Films","0.1%","$6.5","4","4"
"30","30","UTV Communications","0.1%","$6.5","8","7"
"31","31","ThinkFilm","0.1%","$6.2","14","10"
"32","32","IFC","0.1%","$6.1","31","29"
"33","33","3D Entertainment","0.1%","$5.2","1","1"
"34","34","Eros","0.1%","$5.1","10","10"
"35","35","Yash Raj","0.0%","$4.8","6","6"
"36","36","First Look","0.0%","$2.9","8","7"
"37","37","Warner Independent","0.0%","$2.3","5","4"
"38","38","Studio 18","0.0%","$2.2","1","1"
"39","39","Zeitgeist","0.0%","$2.0","6","6"
"40","40","AdLabs","0.0%","$1.9","2","2"
"41","41","Alliance","0.0%","$1.7","6","5"
"42","42","Third Rail Releasing","0.0%","$1.6","8","8"
"43","43","Strand","0.0%","$1.5","12","8"
"44","44","Emerging Pictures","0.0%","$999k","14","12"
"45","45","Candlelight Media Group","0.0%","$882k","1","1"
"46","46","City Lights Pictures Releasing","0.0%","$854k","4","4"
"47","47","Crane Movie Company","0.0%","$720k","1","1"
"48","48","Kino","0.0%","$663k","12","12"
"49","49","Peace Arch Entertainment","0.0%","$610k","5","5"
"50","50","Abramorama","0.0%","$597k","5","4"
"51","51","First Run","0.0%","$569k","11","10"
"52","52","International Film Circuit","0.0%","$551k","3","2"
"53","53","Logo Features","0.0%","$533k","1","1"
"54","54","Regent Releasing","0.0%","$521k","30","25"
"55","55","Film Movement","0.0%","$493k","7","5"
"56","56","SenArt/Scranton-Lacy Films","0.0%","$488k","1","1"
"57","57","Rialto","0.0%","$460k","6","4"
"58","58","Maya Entertainment","0.0%","$392k","6","6"
"59","59","Slowhand Cinema","0.0%","$374k","3","3"
"60","60","Yari Film Group","0.0%","$360k","2","1"
"61","61","First Independent Pictures","0.0%","$328k","3","3"
"62","62","Oscilloscope Pictures","0.0%","$321k","5","5"
"63","63","Indican","0.0%","$319k","7","5"
"64","64","Cinema Guild","0.0%","$318k","5","5"
"65","65","Elephant Eye Films","0.0%","$299k","2","1"
"66","66","N Wave","0.0%","$287k","2","0"
"67","67","Super Chief Films","0.0%","$251k","1","1"
"68","68","Koch Lorber Films","0.0%","$237k","4","3"
"69","69","Anchor Bay Films","0.0%","$229k","7","7"
"70","70","Arenas Entertainment","0.0%","$225k","1","1"
"71","71","Redwood Palms Pictures","0.0%","$224k","1","1"
"72","72","Fair Trade Pictures","0.0%","$208k","1","1"
"73","73","Mitropoulos Films","0.0%","$189k","1","1"
"74","74","Shadow Dist.","0.0%","$176k","2","1"
"75","75","Truly Indie","0.0%","$174k","4","3"
"76","76","Image Entertainment","0.0%","$173k","1","1"
"77","77","Vitagraph","0.0%","$167k","3","3"
"78","78","Balcony Releasing","0.0%","$160k","6","4"
"79","79","Unknown","0.0%","$159k","6","6"
